Key,ru,en,tr
JobTitle,Акции,en,tr
JobName0,Уборщица,en,tr
JobDescription0,Мыть полы в туалете тяжко,en,tr
JobName1,Секс Шоп,en,tr
JobDescription1,Давольно увлекательная работа,en,tr
JobName2,МнеГусто,en,tr
JobDescription2,Ахуенная работа,en,tr
JobName3,Начинающий разработчик игр,en,tr
JobDescription3,Уверенно успешная работа или нет...,en,tr
JobName4,Начинающий разработчик игр,en,tr
JobDescription4,Уверенно успешная работа или нет...,en,tr
JobName5,Начинающий разработчик игр,en,tr
JobDescription5,Уверенно успешная работа или нет...,en,tr
JobName6,Начинающий разработчик игр,en,tr
JobDescription6,Уверенно успешная работа или нет...,en,tr
JobName7,Начинающий разработчик игр,en,tr
JobDescription7,Уверенно успешная работа или нет...,en,tr
JobName8,Студия разработки игр,en,tr
JobDescription8,Стабильность - залог успеха,en,tr
