Key,ru,en,tr
RebithName0,Бог кликеров,en,tr
RebithDescription0,Увеличивает силу клика,en,tr
RebithName1,Манипуляции на рынке,en,tr
RebithDescription1,Снижает стоимость улучшений за монеты,en,tr
RebithName2,Машина времени,en,tr
RebithDescription2,Вероятность пропустить этап,en,tr
RebithName3,Богиня любви,en,tr
RebithDescription3,Уменьшение шкалы популярности,en,tr
RebithName4,До седьмого пота,en,tr
RebithDescription4,Увеличивает доход от работы,en,tr
RebithName5,Любовь к животным,en,tr
RebithDescription5,Увеличивает любовную силу питомцев,en,tr
RebithName6,Подушка на все случа жизни,en,tr
RebithDescription6,Получите бонусные деньги при престиже,en,tr
