Key,ru,en,tr
PetTitle,Питомцы,en,tr
PetName0,Зелебоба,en,tr
PetDescription0,Какое-то ебанутое животное,en,tr
PetName1,Розовый кролик,en,tr
PetDescription1,Милый и пушистый,en,tr
PetName2,Гавноед,en,tr
PetDescription2,Какой-то текст,en,tr
PetName3,Имя 3го животного,en,tr
PetDescription3,Описание 3го животного,en,tr
PetName4,Имя 4го животного,en,tr
PetDescription4,Описание 4го животного,en,tr
PetName5,Имя 5го животного,en,tr
PetDescription5,Описание 5го животного,en,tr
PetName6,Имя 6го животного,en,tr
PetDescription6,Описание 6го животного,en,tr
PetName7,Имя 7го животного,en,tr
PetDescription7,Описание 7го животного,en,tr
PetName8,Имя 8го животного,en,tr
PetDescription8,Описание 8го животного,en,tr
